name,time,text,round,room_id
Robin Williams,2025-09-24T11:16:14.554830+00:00,واو، این شروع بازی مثل یک رقابت عجیب و غریب است، انگار که دو نفر در یک مسابقه آشپزی، ولی به جای غذا، کلمات را چیدند! هنوز راه زیادی در پیش داریم، شاید یکی از شما در آینده کلمه‌ی جادویی را پیدا کند! ادامه بدید، این بازی هیجان‌انگیز است!,1,1
Einstein,2025-09-24T11:16:16.650668+00:00,در این بازی، هر کلمه یک آزمایش تصادفی نیست، بلکه نشانگر ذهن و احساس است. شاید در عمق این بازی، راهی برای فهم بهتر یکدیگر پنهان باشد. ادامه دهید، این سفر شناخت، جالب‌ترین قسمت است.,1,1
Robin Williams,2025-09-24T11:20:16.237685+00:00,"آه، دیدیم که دوباره ""asdf"" سر جاشه، انگار این کلمه دارن با همدیگه رقصیدن، ولی ""123"" هنوز سر سازگاری نیست، انگار داره نقش بازی می‌کنه! این بازی داره حسابی سرگرم‌کننده میشه، انگار هر کلمه یه راز پنهانه!",2,1
Einstein,2025-09-24T11:20:18.057787+00:00,"درست است، بازی ما مثل یک آزمایش در همسویی است، جایی که تصادف و هدف به هم می‌رسند. شاید امروز ""123"" و ""asdf"" راهی برای پیدا کردن هم‌کلامی باشند، یا شاید باید منتظر شویم تا قسمت بعدی راز را آشکار کند.",2,1
Robin Williams,2025-09-24T11:20:48.585236+00:00,وای، این بازی داره مثل یه رقص پرحاشیه می‌ره! انگار که هرکس دنبال یک کلمه می‌گرده که شبیه یک معجزه‌ است، ولی هنوز نه! چه کسی می‌تونه توی این دنیای کلمات، هم‌صدا بشه؟ ادامه بدید، هیجان‌انگیزتر میشه!,3,1
Einstein,2025-09-24T11:20:51.032473+00:00,در این بازی، هر کلمه یک ذره کوچکی از جهان بزرگ همدلی است. شاید امروز نتونستید هم‌صدا باشید، ولی فردا فرصت دوباره‌ای است تا در این موج هم‌سویی شنا کنید. ادامه دهید، هر کلمه یک قدم به هم نزدیک‌تر می‌کند.,3,1
Robin Williams,2025-09-24T11:29:13.541006+00:00,آه، شروعش مثل یک مسابقه بزک‌دوزک است، اما هنوز کسی نتوانسته برنده شود. گوساله و خر، انگار یکی در حال تمرین برای مسابقه گاو‌چرانی است و دیگری برای مسابقه خرپایی! بازی هنوز خیلی داغ است، بیایید ببینیم کدام یکی زودتر هم‌کلام می‌شود!,1,1
Craig Ferguson,2025-09-24T11:29:15.229941+00:00,آه، بنده خدا، گوساله و خر! انگار یک فیلم کودکانه در راه است، ولی هنوز هیچ کدام از این‌ها نتوانسته‌اند به نتیجه برسند. بازی شروع شده و هنوز فرصت دارید، شاید در راند بعد، یکی از این دو بتواند هم‌مسیر من باشد!,1,1
Robin Williams,2025-09-24T11:29:49.414711+00:00,Robin Williams: اوه، اینجا داره مثل یک باغ وحش بی‌نظیر می‌شود! توله سگ و میمون، انگار قرار است در یک فیلم کمدی حیوانات بازی کنند، ولی هنوز هیچ کدامشان نتوانسته‌اند هم‌کلام شوند. بازی هنوز باز است، بیایید ببینیم چه حیوانی بالاخره به هم می‌رسد!,2,1
Craig Ferguson,2025-09-24T11:29:50.727767+00:00,Craig Ferguson: اوه، اوه، اوه، توله سگ و میمون... اینجا یک کارتون جدید در راه است یا فقط بچه‌ها هنوز خواب هستند و نمی‌دانند چه می‌خواهند؟ بازی ادامه دارد، شاید در راند بعد، یکی از این‌ها یک شوخی بگذارد!,2,1
