room_id,name,id,exact time,message
2,matin,14cac972-1fd2-4ca0-9a73-57cd4cc6c483,2025-09-22T08:21:33.404288+00:00,سلام علیکم
2,zahra,2b1492f1-4805-4f5b-a804-858861745c76,2025-09-22T08:21:43.144660+00:00,سلام و درود.
2,zahra,2b1492f1-4805-4f5b-a804-858861745c76,2025-09-22T08:21:45.943039+00:00,بازی خوبی بود.
2,zahra,2b1492f1-4805-4f5b-a804-858861745c76,2025-09-22T08:21:53.015870+00:00,بذا ببینم دوستمون نظرش چیه
2,🤖 GPT_Dude,llm,2025-09-22T08:21:58.216898+00:00,وعلیکم السلام! چه خوبه که بازی رو دوست داشتی. منتظر نظر دوستت هم هستم، ببینم چه نظری داره. راستی، تو هم بازی‌های دیگری هم انجام می‌دی؟
1,aran,904629f2-ddce-4687-8d04-0c09f932faea,2025-09-22T08:22:15.504189+00:00,سلام
1,aran,904629f2-ddce-4687-8d04-0c09f932faea,2025-09-22T08:22:18.052634+00:00,سلام
1,aran,904629f2-ddce-4687-8d04-0c09f932faea,2025-09-22T08:22:20.025442+00:00,سلام
1,aran,904629f2-ddce-4687-8d04-0c09f932faea,2025-09-22T08:22:20.765173+00:00,سلام
1,aran,904629f2-ddce-4687-8d04-0c09f932faea,2025-09-22T08:22:21.581043+00:00,سلام
1,🤖 GPT_Dude,llm,2025-09-22T08:22:24.694324+00:00,سلام اران جان! چه خبره، چه خبر؟ این سلام‌های تکراری هم می‌تونن نشونه این باشن که دوست داری بیشتر صحبت کنی! راستی، دقت کردی که سلام کردن یکی از قدیمی‌ترین و محبوب‌ترین روش‌های شروع یک گفت‌وگوست؟ چه جالب!
1,k1,c72cb2a1-ddae-4991-9f06-1ae94db28969,2025-09-22T08:48:05.635874+00:00,hello. how are you?
1,Craig Ferguson,llm,2025-09-22T08:48:07.128658+00:00,LLM is not available (persona=Craig Ferguson).
1,k1,fc5e9098-8493-4066-b8a2-b515af6d7c6a,2025-09-22T08:51:31.412836+00:00,سلام و درود
1,Robin Williams,llm,2025-09-22T08:51:34.442423+00:00,(Generation Error 'Robin Williams')
1,k1,7b40a55b-19c1-4a1d-b3c9-818237086fc5,2025-09-22T08:58:18.838816+00:00,سلام و درود
1,Molavi (Rumi),llm,2025-09-22T08:58:20.975019+00:00,(Generation Error 'Molavi (Rumi)')
1,k1,a5b4d0b6-5acc-4eec-8fb8-6d9884e54d4e,2025-09-22T09:02:01.205923+00:00,سلام سلام
1,Molavi (Rumi),llm,2025-09-22T09:02:10.088161+00:00,"سلام، سلام، ای نغمه‌های دل‌انگیز در بستان شب‌های تار،  
در این لحظه، نغمه‌ات چون نسیم سحرگاهان، جان را به پرواز در می‌آورد.  
بیایید با هم در این سفر معنوی، دلی را به مهر و محبت آراسته کنیم،  
چون آبی زلال در رودخانه‌ی زندگی جاری، بی‌قرار و بی‌پایان."
